distance,consume,speed,gas_SP98,temp_inside,temp_outside,AC,rain,snow,sun,trip_price
16.3,4.5,58,1,22.0,16,0,0,0,0,6.57
18.7,4.2,65,1,25.0,18,1,0,0,1,6.1319997215271
36.5,3.9,54,1,23.0,18,0,0,0,1,5.69400013923645
19.0,5.0,35,1,22.0,15,1,0,0,1,7.3
16.6,4.4,46,1,22.0,5,1,0,0,0,6.42400013923645
29.9,4.5,32,1,22.0,18,1,0,0,0,6.57
16.0,3.8,42,1,22.0,11,0,0,0,0,5.547999930381775
21.1,5.1,33,1,22.0,10,0,1,0,0,7.44599986076355
16.0,3.9,40,1,22.0,10,0,0,0,0,5.69400013923645
11.9,5.3,34,1,22.0,13,0,0,0,0,7.7380002784729
10.1,4.2,35,1,22.0,16,0,0,0,0,6.1319997215271
31.9,4.3,33,1,22.0,16,0,0,0,0,6.2780002784729
18.7,4.0,60,1,22.0,13,0,0,0,0,5.84
10.8,4.7,48,1,22.0,17,0,0,0,1,6.8619997215270985
19.8,4.0,56,1,22.0,17,0,0,0,1,5.84
11.3,4.3,38,1,22.0,17,0,0,0,0,6.2780002784729
11.5,5.3,53,1,22.0,15,0,0,0,0,7.7380002784729
21.4,5.2,51,1,22.0,13,0,0,0,0,7.5919997215271
32.0,4.9,53,1,22.0,15,0,0,0,0,7.15400013923645
41.9,4.7,53,1,22.0,14,0,0,0,0,6.8619997215270985
211.0,4.6,80,1,22.0,20,0,0,0,0,6.7159998607635485
216.1,5.3,90,1,22.0,21,0,0,0,1,7.7380002784729
25.5,3.6,27,1,22.0,27,0,0,0,1,5.2559998607635485
16.6,4.2,52,1,22.0,15,0,1,0,0,6.1319997215271
25.9,4.1,43,1,22.0,24,0,0,0,0,5.98599986076355
16.5,4.0,48,1,22.0,15,0,0,0,0,5.84
22.1,3.9,29,1,22.0,26,0,0,0,0,5.69400013923645
16.6,3.7,49,0,22.0,17,0,0,0,0,5.106000065803529
15.4,4.5,43,0,22.0,24,0,0,0,0,6.209999999999999
16.5,3.9,43,0,22.0,17,0,0,0,0,5.3820001316070565
15.4,5.1,21,0,22.0,24,0,0,0,0,7.037999868392944
18.4,4.2,59,0,22.0,24,0,0,0,0,5.7959997367858875
39.5,4.2,58,0,22.0,25,0,0,0,0,5.7959997367858875
21.5,4.8,47,0,25.0,27,1,0,0,1,6.6240002632141115
4.8,4.7,26,0,25.0,18,0,0,0,0,6.485999736785887
100.9,4.7,87,0,23.5,22,0,0,0,0,6.485999736785887
129.7,4.6,58,0,24.0,21,0,0,0,0,6.347999868392943
16.6,3.8,43,0,21.5,16,0,0,0,0,5.243999934196472
15.4,4.2,50,0,21.5,21,0,0,0,0,5.7959997367858875
16.0,3.7,45,0,22.0,17,0,0,0,0,5.106000065803529
