distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun
16.3,16.3,58,22.0,16,SP98,0,0,0
18.7,18.7,65,25.0,18,SP98,1,0,1
36.5,36.5,54,23.0,18,SP98,0,0,1
19.0,19.0,35,22.0,15,SP98,1,0,1
16.6,16.6,46,22.0,5,SP98,1,0,0
29.9,29.9,32,22.0,18,SP98,1,0,0
16.0,16.0,42,22.0,11,SP98,0,0,0
21.1,21.1,33,22.0,10,SP98,0,1,0
16.0,16.0,40,22.0,10,SP98,0,0,0
11.9,11.9,34,22.0,13,SP98,0,0,0
10.1,10.1,35,22.0,16,SP98,0,0,0
31.9,31.9,33,22.0,16,SP98,0,0,0
18.7,18.7,60,22.0,13,SP98,0,0,0
10.8,10.8,48,22.0,17,SP98,0,0,1
19.8,19.8,56,22.0,17,SP98,0,0,1
11.3,11.3,38,22.0,17,SP98,0,0,0
11.5,11.5,53,22.0,15,SP98,0,0,0
21.4,21.4,51,22.0,13,SP98,0,0,0
32.0,32.0,53,22.0,15,SP98,0,0,0
41.9,41.9,53,22.0,14,SP98,0,0,0
211.0,211.0,80,22.0,20,SP98,0,0,0
216.1,216.1,90,22.0,21,SP98,0,0,1
25.5,25.5,27,22.0,27,SP98,0,0,1
16.6,16.6,52,22.0,15,SP98,0,1,0
25.9,25.9,43,22.0,24,SP98,0,0,0
16.5,16.5,48,22.0,15,SP98,0,0,0
22.1,22.1,29,22.0,26,SP98,0,0,0
16.6,16.6,49,22.0,17,E10,0,0,0
15.4,15.4,43,22.0,24,E10,0,0,0
16.5,16.5,43,22.0,17,E10,0,0,0
15.4,15.4,21,22.0,24,E10,0,0,0
18.4,18.4,59,22.0,24,E10,0,0,0
39.5,39.5,58,22.0,25,E10,0,0,0
21.5,21.5,47,25.0,27,E10,1,0,1
4.8,4.8,26,25.0,18,E10,0,0,0
100.9,100.9,87,23.5,22,E10,0,0,0
129.7,129.7,58,24.0,21,E10,0,0,0
16.6,16.6,43,21.5,16,E10,0,0,0
15.4,15.4,50,21.5,21,E10,0,0,0
16.0,16.0,45,22.0,17,E10,0,0,0
16.0,16.0,41,22.0,15,E10,0,0,0
15.4,15.4,45,22.0,24,E10,0,0,0
16.0,16.0,43,22.0,16,E10,0,0,0
21.0,21.0,37,22.0,21,E10,0,0,0
15.4,15.4,47,22.0,24,E10,0,0,0
16.0,16.0,42,22.0,17,E10,0,0,0
16.1,16.1,30,25.0,16,E10,1,1,0
16.0,16.0,42,22.0,15,E10,0,0,0
15.4,15.4,40,22.0,18,E10,0,0,0
17.2,17.2,35,22.0,16,E10,0,0,0
16.6,16.6,50,22.0,25,E10,0,0,0
18.3,18.3,46,22.0,16,SP98,0,0,0
16.1,16.1,36,22.0,18,SP98,0,1,0
16.0,16.0,46,22.0,17,SP98,0,0,0
16.3,16.3,35,22.0,23,SP98,0,0,0
16.0,16.0,44,22.0,16,SP98,0,0,0
18.3,18.3,46,22.0,23,SP98,0,0,0
